"No.","Time","Source","Destination","Protocol","Length","Info"
"42","1.470455","23.32.10.14","10.90.119.247","TCP","74","80  >  60817 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1003297327 TSecr=648037665 WS=128"
"43","1.470531","10.90.119.247","23.32.10.14","TCP","66","60817  >  80 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=648037680 TSecr=1003297327"
"44","1.471028","10.90.119.247","23.32.10.14","HTTP","366","GET /ocsp04-devid01/ME4wTKADAgEAMEUwQzBBMAkGBSsOAwIaBQAEFDOB0e%2FbaLCFIU0u76%2BMSmlkPCpsBBRXF%2B2iz9x8mKEQ4Py%2Bhy0s8uMXVAIIGsIX3XOPkts%3D HTTP/1.1 "
"45","1.486385","23.32.10.14","10.90.119.247","TCP","66","80  >  60817 [ACK] Seq=1 Ack=301 Win=64896 Len=0 TSval=1003297343 TSecr=648037680"
"46","1.489275","23.32.10.14","10.90.119.247","TCP","1514","80  >  60817 [ACK] Seq=1 Ack=301 Win=64896 Len=1448 TSval=1003297344 TSecr=648037680 [TCP segment of a reassembled PDU]"
"47","1.489278","23.32.10.14","10.90.119.247","TCP","118","[TCP Previous segment not captured] 80  >  60817 [PSH, ACK] Seq=2897 Ack=301 Win=64896 Len=52 TSval=1003297344 TSecr=648037680 [TCP segment of a reassembled PDU]"
"48","1.489336","10.90.119.247","23.32.10.14","TCP","78","60817  >  80 [ACK] Seq=301 Ack=1449 Win=130304 Len=0 TSval=648037697 TSecr=1003297344 SLE=2897 SRE=2949"
"49","1.489468","23.32.10.14","10.90.119.247","TCP","1514","[TCP Out-Of-Order] 80  >  60817 [PSH, ACK] Seq=1449 Ack=301 Win=64896 Len=1448 TSval=1003297344 TSecr=648037680"
"50","1.489575","10.90.119.247","23.32.10.14","TCP","66","60817  >  80 [ACK] Seq=301 Ack=2949 Win=129536 Len=0 TSval=648037697 TSecr=1003297344"
"51","1.491234","10.90.119.247","23.32.10.14","TCP","66","60817  >  80 [FIN, ACK] Seq=301 Ack=2949 Win=131072 Len=0 TSval=648037698 TSecr=1003297344"
"52","1.506407","23.32.10.14","10.90.119.247","TCP","66","80  >  60817 [FIN, ACK] Seq=2949 Ack=302 Win=64896 Len=0 TSval=1003297362 TSecr=648037698"
"53","1.506481","10.90.119.247","23.32.10.14","TCP","66","60817  >  80 [ACK] Seq=302 Ack=2950 Win=131072 Len=0 TSval=648037713 TSecr=1003297362"
"54","1.627179","117.18.237.29","10.90.119.247","TCP","74","80  >  60816 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2337430395 TSecr=648037585 WS=512"
"55","1.627256","10.90.119.247","117.18.237.29","TCP","66","60816  >  80 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=648037833 TSecr=2337430395"
"56","1.627696","10.90.119.247","117.18.237.29","HTTP","366","GET /MFYwVKADAgEAME0wSzBJMAkGBSsOAwIaBQAEFMEvRXbtFVnssF26ib%2BdgHjlI9QTBBTlnVkwgkdYzKz6CFQ2hns6tQRN8AIQBVLH7%2F7sKSup8Th7B6%2BSnw%3D%3D HTTP/1.1 "
"57","1.890024","117.18.237.29","10.90.119.247","TCP","66","80  >  60816 [ACK] Seq=1 Ack=301 Win=67072 Len=0 TSval=2337430637 TSecr=648037833"
"58","1.890291","117.18.237.29","10.90.119.247","TCP","1514","80  >  60816 [ACK] Seq=1 Ack=301 Win=67072 Len=1448 TSval=2337430638 TSecr=648037833 [TCP segment of a reassembled PDU]"
"59","1.890546","117.18.237.29","10.90.119.247","OCSP","454","Response"
"60","1.890583","10.90.119.247","117.18.237.29","TCP","66","60816  >  80 [ACK] Seq=301 Ack=1837 Win=130624 Len=0 TSval=648038095 TSecr=2337430638"
"61","1.891724","10.90.119.247","117.18.237.29","TCP","66","60816  >  80 [FIN, ACK] Seq=301 Ack=1837 Win=131072 Len=0 TSval=648038096 TSecr=2337430638"
"62","1.893868","10.90.119.247","17.248.248.50","TLSv1.3","146","Change Cipher Spec, Application Data"
"63","1.894651","10.90.119.247","17.248.248.50","TLSv1.3","601","Application Data"
"64","1.895291","10.90.119.247","17.248.248.50","TLSv1.3","134","Application Data"
"65","1.896783","10.90.119.247","17.248.248.69","TCP","78","60818  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=648038100 TSecr=0 SACK_PERM"
"66","1.925322","17.248.248.50","10.90.119.247","TCP","66","443  >  60815 [ACK] Seq=4911 Ack=598 Win=64768 Len=0 TSval=1092410852 TSecr=648038098"
"67","1.925325","17.248.248.69","10.90.119.247","TCP","74","443  >  60818 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1328422709 TSecr=648038100 WS=128"
"68","1.925398","10.90.119.247","17.248.248.69","TCP","66","60818  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=648038128 TSecr=1328422709"
"69","1.925806","10.90.119.247","17.248.248.69","TLSv1.3","583","Client Hello"
"70","1.926082","17.248.248.50","10.90.119.247","TLSv1.3","369","Application Data"
"71","1.926119","10.90.119.247","17.248.248.50","TCP","66","60815  >  443 [ACK] Seq=1201 Ack=5214 Win=130752 Len=0 TSval=648038128 TSecr=1092410853"
"72","1.926612","17.248.248.50","10.90.119.247","TCP","66","443  >  60815 [ACK] Seq=5214 Ack=1133 Win=64256 Len=0 TSval=1092410853 TSecr=648038098"
"73","1.926614","17.248.248.50","10.90.119.247","TCP","66","443  >  60815 [ACK] Seq=5214 Ack=1201 Win=64256 Len=0 TSval=1092410853 TSecr=648038099"
"74","1.927014","17.248.248.50","10.90.119.247","TLSv1.3","369","Application Data"
"75","1.927070","10.90.119.247","17.248.248.50","TCP","66","60815  >  443 [ACK] Seq=1201 Ack=5517 Win=130752 Len=0 TSval=648038129 TSecr=1092410853"
"76","1.927402","17.248.248.50","10.90.119.247","TCP","1514","443  >  60815 [ACK] Seq=5517 Ack=1201 Win=64256 Len=1448 TSval=1092410854 TSecr=648038099 [TCP segment of a reassembled PDU]"
"77","1.927404","17.248.248.50","10.90.119.247","TLSv1.3","1238","Application Data"
"78","1.927430","10.90.119.247","17.248.248.50","TCP","66","60815  >  443 [ACK] Seq=1201 Ack=8137 Win=128448 Len=0 TSval=648038129 TSecr=1092410854"
"79","1.960872","17.248.248.69","10.90.119.247","TCP","66","443  >  60818 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=1328422738 TSecr=648038128"
"80","1.961353","17.248.248.69","10.90.119.247","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data"
"81","1.961802","17.248.248.69","10.90.119.247","TCP","1514","443  >  60818 [PSH, ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=1328422738 TSecr=648038128 [TCP segment of a reassembled PDU]"
"82","1.961844","10.90.119.247","17.248.248.69","TCP","66","60818  >  443 [ACK] Seq=518 Ack=2897 Win=129600 Len=0 TSval=648038163 TSecr=1328422738"
"83","1.961975","17.248.248.69","10.90.119.247","TCP","1266","443  >  60818 [PSH, ACK] Seq=2897 Ack=518 Win=64768 Len=1200 TSval=1328422738 TSecr=648038128 [TCP segment of a reassembled PDU]"
"84","1.961977","17.248.248.69","10.90.119.247","TLSv1.3","881","Application Data, Application Data, Application Data"
"85","1.962014","10.90.119.247","17.248.248.69","TCP","66","60818  >  443 [ACK] Seq=518 Ack=4097 Win=129856 Len=0 TSval=648038164 TSecr=1328422738"
"86","1.962014","10.90.119.247","17.248.248.69","TCP","66","60818  >  443 [ACK] Seq=518 Ack=4912 Win=129024 Len=0 TSval=648038164 TSecr=1328422739"
"87","1.968663","10.90.119.247","17.248.248.69","TLSv1.3","146","Change Cipher Spec, Application Data"
"88","1.969332","10.90.119.247","17.248.248.69","TLSv1.3","631","Application Data"
"89","1.969521","10.90.119.247","17.248.248.69","TLSv1.3","165","Application Data"
"90","2.000282","10.90.119.247","17.253.108.253","NTP","90","NTP Version 4, client"
"91","2.026181","17.248.248.69","10.90.119.247","TCP","66","443  >  60818 [ACK] Seq=4912 Ack=598 Win=64768 Len=0 TSval=1328422793 TSecr=648038170"
"92","2.026396","17.248.248.69","10.90.119.247","TLSv1.3","369","Application Data"
"93","2.026399","17.248.248.69","10.90.119.247","TLSv1.3","369","Application Data"
"94","2.026445","10.90.119.247","17.248.248.69","TCP","66","60818  >  443 [ACK] Seq=1262 Ack=5215 Win=130752 Len=0 TSval=648038227 TSecr=1328422793"
"95","2.026445","10.90.119.247","17.248.248.69","TCP","66","60818  >  443 [ACK] Seq=1262 Ack=5518 Win=130432 Len=0 TSval=648038227 TSecr=1328422794"
"96","2.026718","17.248.248.69","10.90.119.247","TCP","66","443  >  60818 [ACK] Seq=5518 Ack=1163 Win=64256 Len=0 TSval=1328422794 TSecr=648038170"
"97","2.026720","17.248.248.69","10.90.119.247","TCP","66","443  >  60818 [ACK] Seq=5518 Ack=1262 Win=64256 Len=0 TSval=1328422794 TSecr=648038170"
"98","2.028061","17.248.248.69","10.90.119.247","TLSv1.3","1175","Application Data"
"99","2.028093","10.90.119.247","17.248.248.69","TCP","66","60818  >  443 [ACK] Seq=1262 Ack=6627 Win=129920 Len=0 TSval=648038228 TSecr=1328422795"
"100","2.063301","10.90.119.247","17.248.248.50","TLSv1.3","631","Application Data"
"101","2.063503","10.90.119.247","17.248.248.50","TLSv1.3","165","Application Data"
"102","2.139847","10.90.119.247","17.248.248.50","TCP","730","[TCP Retransmission] 60815  >  443 [PSH, ACK] Seq=1201 Ack=8137 Win=131072 Len=664 TSval=648038339 TSecr=1092410854"
"103","2.142103","17.248.248.50","10.90.119.247","TCP","66","443  >  60815 [ACK] Seq=8137 Ack=1865 Win=64128 Len=0 TSval=1092411020 TSecr=648038263"
"104","2.142432","17.248.248.50","10.90.119.247","TLSv1.3","1176","Application Data"
"105","2.142434","117.18.237.29","10.90.119.247","TCP","66","80  >  60816 [FIN, ACK] Seq=1837 Ack=302 Win=67072 Len=0 TSval=2337430902 TSecr=648038096"
"106","2.142467","10.90.119.247","17.248.248.50","TCP","66","60815  >  443 [ACK] Seq=1865 Ack=9247 Win=129920 Len=0 TSval=648038341 TSecr=1092411022"
"107","2.142520","10.90.119.247","117.18.237.29","TCP","66","60816  >  80 [ACK] Seq=302 Ack=1838 Win=131072 Len=0 TSval=648038341 TSecr=2337430902"
"108","2.158575","10.90.119.247","17.248.248.50","TLSv1.3","631","Application Data"
"109","2.158797","10.90.119.247","17.248.248.50","TLSv1.3","165","Application Data"
"110","2.171630","17.248.248.50","10.90.119.247","TCP","78","[TCP Dup ACK 103#1] 443  >  60815 [ACK] Seq=9247 Ack=1865 Win=64128 Len=0 TSval=1092411101 TSecr=648038339 SLE=1201 SRE=1865"
"111","2.189853","17.248.248.50","10.90.119.247","TCP","66","443  >  60815 [ACK] Seq=9247 Ack=2430 Win=64128 Len=0 TSval=1092411117 TSecr=648038357"
"112","2.189856","17.248.248.50","10.90.119.247","TCP","66","443  >  60815 [ACK] Seq=9247 Ack=2529 Win=64128 Len=0 TSval=1092411117 TSecr=648038357"
"113","2.191854","17.248.248.50","10.90.119.247","TLSv1.3","1176","Application Data"
"114","2.191888","10.90.119.247","17.248.248.50","TCP","66","60815  >  443 [ACK] Seq=2529 Ack=10357 Win=129920 Len=0 TSval=648038389 TSecr=1092411119"
"115","2.209421","10.90.119.247","17.253.57.208","TCP","78","60819  >  80 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=648038406 TSecr=0 SACK_PERM"
"116","2.241798","17.253.57.208","10.90.119.247","TCP","74","80  >  60819 [SYN, ACK, ECE] Seq=0 Ack=1 Win=64980 Len=0 MSS=1456 SACK_PERM TSval=1185670705 TSecr=648038406 WS=256"
"117","2.241858","10.90.119.247","17.253.57.208","TCP","66","60819  >  80 [ACK] Seq=1 Ack=1 Win=131392 Len=0 TSval=648038438 TSecr=1185670705"
"118","2.242247","10.90.119.247","17.253.57.208","HTTP","366","GET /ocsp04-devid01/ME4wTKADAgEAMEUwQzBBMAkGBSsOAwIaBQAEFDOB0e%2FbaLCFIU0u76%2BMSmlkPCpsBBRXF%2B2iz9x8mKEQ4Py%2Bhy0s8uMXVAIIRWsEIQLDCFo%3D HTTP/1.1 "
"119","2.274509","17.253.57.208","10.90.119.247","TCP","66","80  >  60819 [ACK] Seq=1 Ack=301 Win=64768 Len=0 TSval=1185670737 TSecr=648038438"
"120","2.279291","17.253.57.208","10.90.119.247","TCP","1510","80  >  60819 [ACK] Seq=1 Ack=301 Win=64768 Len=1444 TSval=1185670740 TSecr=648038438 [TCP segment of a reassembled PDU]"
"121","2.279593","17.253.57.208","10.90.119.247","TCP","255","[TCP Previous segment not captured] 80  >  60819 [PSH, ACK] Seq=2889 Ack=301 Win=64768 Len=189 TSval=1185670740 TSecr=648038438 [TCP segment of a reassembled PDU]"
"122","2.279595","17.253.57.208","10.90.119.247","TCP","1510","[TCP Out-Of-Order] 80  >  60819 [PSH, ACK] Seq=1445 Ack=301 Win=64768 Len=1444 TSval=1185670740 TSecr=648038438"
"123","2.279656","10.90.119.247","17.253.57.208","TCP","78","60819  >  80 [ACK] Seq=301 Ack=1445 Win=131072 Len=0 TSval=648038474 TSecr=1185670740 SLE=2889 SRE=3078"
"124","2.279657","10.90.119.247","17.253.57.208","TCP","66","60819  >  80 [ACK] Seq=301 Ack=3078 Win=129408 Len=0 TSval=648038474 TSecr=1185670740"
"125","2.280879","10.90.119.247","17.253.57.208","TCP","66","60819  >  80 [FIN, ACK] Seq=301 Ack=3078 Win=131072 Len=0 TSval=648038475 TSecr=1185670740"
"126","2.283439","10.90.119.247","17.248.248.50","TLSv1.3","631","Application Data"
"127","2.283593","10.90.119.247","17.248.248.50","TLSv1.3","165","Application Data"
"128","2.312767","17.253.57.208","10.90.119.247","TCP","66","80  >  60819 [FIN, ACK] Seq=3078 Ack=302 Win=64768 Len=0 TSval=1185670775 TSecr=648038475"
"129","2.312771","17.248.248.50","10.90.119.247","TCP","66","443  >  60815 [ACK] Seq=10357 Ack=3094 Win=64128 Len=0 TSval=1092411241 TSecr=648038477"
"130","2.312879","10.90.119.247","17.253.57.208","TCP","66","60819  >  80 [ACK] Seq=302 Ack=3079 Win=131072 Len=0 TSval=648038506 TSecr=1185670775"
"131","2.313149","17.248.248.50","10.90.119.247","TCP","66","443  >  60815 [ACK] Seq=10357 Ack=3193 Win=64128 Len=0 TSval=1092411241 TSecr=648038477"
"132","2.323082","192.0.77.32","10.90.119.247","TLSv1.2","93","Application Data"
"133","2.323131","10.90.119.247","192.0.77.32","TCP","54","60687  >  443 [ACK] Seq=1 Ack=40 Win=4095 Len=0"
"134","2.323378","192.0.77.32","10.90.119.247","TLSv1.2","78","Application Data"
"135","2.323380","192.0.77.32","10.90.119.247","TCP","54","443  >  60687 [FIN, ACK] Seq=64 Ack=1 Win=62 Len=0"
"136","2.323391","10.90.119.247","192.0.77.32","TLSv1.2","93","Application Data"
"137","2.323442","10.90.119.247","192.0.77.32","TCP","54","60687  >  443 [ACK] Seq=40 Ack=64 Win=4095 Len=0"
"138","2.323442","10.90.119.247","192.0.77.32","TCP","54","60687  >  443 [ACK] Seq=40 Ack=65 Win=4095 Len=0"
"139","2.323737","10.90.119.247","192.0.77.32","TLSv1.2","78","Application Data"
"140","2.324432","10.90.119.247","192.0.77.32","TCP","54","60687  >  443 [RST, ACK] Seq=64 Ack=65 Win=4095 Len=0"
"141","2.335911","192.0.77.32","10.90.119.247","TCP","54","443  >  60687 [ACK] Seq=65 Ack=40 Win=62 Len=0"
"142","2.335916","192.0.77.32","10.90.119.247","TCP","54","443  >  60687 [RST, ACK] Seq=65 Ack=40 Win=62 Len=0"
"143","2.336025","192.0.77.32","10.90.119.247","TCP","54","443  >  60687 [RST] Seq=64 Win=0 Len=0"
"144","2.336053","10.90.119.247","192.0.77.32","TCP","54","60687  >  443 [RST] Seq=40 Win=0 Len=0"
"145","2.336185","192.0.77.32","10.90.119.247","TCP","54","443  >  60687 [RST] Seq=65 Win=0 Len=0"
"146","2.336876","192.0.77.32","10.90.119.247","TCP","54","443  >  60687 [RST] Seq=65 Win=0 Len=0"
"147","2.391791","17.248.248.50","10.90.119.247","TLSv1.3","1177","Application Data"
"148","2.391854","10.90.119.247","17.248.248.50","TCP","66","60815  >  443 [ACK] Seq=3193 Ack=11468 Win=129920 Len=0 TSval=648038583 TSecr=1092411320"
"149","2.409496","10.90.119.247","17.248.248.50","TLSv1.3","631","Application Data"
"150","2.409637","10.90.119.247","17.248.248.50","TLSv1.3","165","Application Data"
"151","2.441818","17.248.248.50","10.90.119.247","TCP","66","443  >  60815 [ACK] Seq=11468 Ack=3758 Win=64128 Len=0 TSval=1092411370 TSecr=648038600"
"152","2.441821","17.248.248.50","10.90.119.247","TCP","66","443  >  60815 [ACK] Seq=11468 Ack=3857 Win=64128 Len=0 TSval=1092411370 TSecr=648038600"
"153","2.442603","17.248.248.50","10.90.119.247","TLSv1.3","1176","Application Data"
"154","2.442640","10.90.119.247","17.248.248.50","TCP","66","60815  >  443 [ACK] Seq=3857 Ack=12578 Win=129920 Len=0 TSval=648038632 TSecr=1092411371"
"155","2.465198","10.90.119.247","17.248.248.50","TLSv1.3","631","Application Data"
"156","2.465422","10.90.119.247","17.248.248.50","TLSv1.3","165","Application Data"
"157","2.493563","17.248.248.50","10.90.119.247","TCP","66","443  >  60815 [ACK] Seq=12578 Ack=4422 Win=64128 Len=0 TSval=1092411423 TSecr=648038655"
"158","2.493565","17.248.248.50","10.90.119.247","TCP","66","443  >  60815 [ACK] Seq=12578 Ack=4521 Win=64128 Len=0 TSval=1092411423 TSecr=648038655"
"159","2.495061","17.248.248.50","10.90.119.247","TLSv1.3","1176","Application Data"
"160","2.495105","10.90.119.247","17.248.248.50","TCP","66","60815  >  443 [ACK] Seq=4521 Ack=13688 Win=129920 Len=0 TSval=648038684 TSecr=1092411424"
"161","2.512045","10.90.119.247","17.248.248.50","TLSv1.3","631","Application Data"
"162","2.512283","10.90.119.247","17.248.248.50","TLSv1.3","165","Application Data"
"163","2.540360","17.248.248.50","10.90.119.247","TCP","66","443  >  60815 [ACK] Seq=13688 Ack=5185 Win=64128 Len=0 TSval=1092411470 TSecr=648038700"
"164","2.543949","17.248.248.50","10.90.119.247","TLSv1.3","1175","Application Data"
"165","2.543990","10.90.119.247","17.248.248.50","TCP","66","60815  >  443 [ACK] Seq=5185 Ack=14797 Win=129920 Len=0 TSval=648038730 TSecr=1092411472"
"166","2.558912","10.90.119.247","17.253.57.203","TCP","78","60820  >  80 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=648038744 TSecr=0 SACK_PERM"
"167","2.587388","17.253.57.203","10.90.119.247","TCP","74","80  >  60820 [SYN, ACK, ECE] Seq=0 Ack=1 Win=64980 Len=0 MSS=1456 SACK_PERM TSval=1898150281 TSecr=648038744 WS=256"
"168","2.587447","10.90.119.247","17.253.57.203","TCP","66","60820  >  80 [ACK] Seq=1 Ack=1 Win=131392 Len=0 TSval=648038772 TSecr=1898150281"
"169","2.587870","10.90.119.247","17.253.57.203","HTTP","370","GET /ocsp04-devid01/ME4wTKADAgEAMEUwQzBBMAkGBSsOAwIaBQAEFDOB0e%2FbaLCFIU0u76%2BMSmlkPCpsBBRXF%2B2iz9x8mKEQ4Py%2Bhy0s8uMXVAIIFAtt%2B0l%2BnUE%3D HTTP/1.1 "
"170","2.606766","10.90.119.247","151.100.4.2","DNS","96","Standard query 0x6d6e A mesu-cdn.origin-apple.com.akadns.net"
"171","2.607467","10.90.119.247","17.253.15.203","TCP","78","60821  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=648038790 TSecr=0 SACK_PERM"
"172","2.613747","151.100.4.2","10.90.119.247","DNS","160","Standard query response 0x6d6e A mesu-cdn.origin-apple.com.akadns.net CNAME mesu.g.aaplimg.com A 17.253.57.204 A 17.253.57.208"
"173","2.613795","10.90.119.247","151.100.4.2","ICMP","70","Destination unreachable (Port unreachable)"
"174","2.615691","17.253.57.203","10.90.119.247","TCP","66","80  >  60820 [ACK] Seq=1 Ack=305 Win=64768 Len=0 TSval=1898150310 TSecr=648038772"
"175","2.618394","17.253.57.203","10.90.119.247","TCP","1510","80  >  60820 [ACK] Seq=1 Ack=305 Win=64768 Len=1444 TSval=1898150310 TSecr=648038772 [TCP segment of a reassembled PDU]"
"176","2.618487","17.253.57.203","10.90.119.247","TCP","1510","80  >  60820 [PSH, ACK] Seq=1445 Ack=305 Win=64768 Len=1444 TSval=1898150310 TSecr=648038772 [TCP segment of a reassembled PDU]"
"177","2.618488","17.253.57.203","10.90.119.247","OCSP","255","Response"
"178","2.618527","10.90.119.247","17.253.57.203","TCP","66","60820  >  80 [ACK] Seq=305 Ack=2889 Win=129600 Len=0 TSval=648038800 TSecr=1898150310"
"179","2.618527","10.90.119.247","17.253.57.203","TCP","66","60820  >  80 [ACK] Seq=305 Ack=3078 Win=129408 Len=0 TSval=648038800 TSecr=1898150310"
"180","2.619789","10.90.119.247","17.253.57.203","TCP","66","60820  >  80 [FIN, ACK] Seq=305 Ack=3078 Win=131072 Len=0 TSval=648038801 TSecr=1898150310"
"181","2.622082","10.90.119.247","17.248.248.50","TLSv1.3","631","Application Data"
"182","2.622288","10.90.119.247","17.248.248.50","TLSv1.3","165","Application Data"
"183","2.639960","17.253.15.203","10.90.119.247","TCP","74","443  >  60821 [SYN, ACK, ECE] Seq=0 Ack=1 Win=64980 Len=0 MSS=1456 SACK_PERM TSval=2193331489 TSecr=648038790 WS=256"
"184","2.640020","10.90.119.247","17.253.15.203","TCP","66","60821  >  443 [ACK] Seq=1 Ack=1 Win=131392 Len=0 TSval=648038820 TSecr=2193331489"
"185","2.640465","10.90.119.247","17.253.15.203","TLSv1.3","583","Client Hello"
